0.09,0.11,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.19,0.2,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.3,0.31,0.32,0.33,0.34,0.36,0.37,0.39,0.4,0.42,0.44,0.45,0.47,0.49,0.51,0.53,0.55,0.58,0.6,0.62,0.65,0.68,0.71,0.74,0.77,0.81,0.84,0.88,0.92,0.96,1,1.05,1.1,1.15,1.2,1.25,1.31,1.37,1.44,1.5,1.57,1.65,1.72,1.8,1.89,1.97,2.06,2.16,2.26,2.36,2.46,2.58,2.69,2.81,2.94
0.32,0.36,0.39,0.42,0.44,0.46,0.47,0.49,0.52,0.54,0.56,0.58,0.59,0.61,0.62,0.64,0.67,0.69,0.72,0.75,0.78,0.82,0.85,0.89,0.93,0.96,1,1.04,1.07,1.12,1.16,1.21,1.26,1.31,1.36,1.41,1.47,1.53,1.59,1.65,1.72,1.79,1.86,1.94,2.02,2.11,2.2,2.29,2.39,2.5,2.6,2.72,2.84,2.96,3.1,3.23,3.38,3.53,3.69,3.85,4.03,4.21,4.4,4.6,4.81,5.02,5.25,5.48,5.73,5.99,6.25,6.53,6.81,7.11,7.42,7.73,8.06,8.4,8.76,9.12
0.7,0.78,0.84,0.88,0.92,0.96,1,1.04,1.08,1.13,1.17,1.2,1.24,1.27,1.31,1.35,1.39,1.45,1.51,1.57,1.64,1.72,1.79,1.86,1.94,2.01,2.09,2.17,2.25,2.33,2.43,2.52,2.63,2.73,2.84,2.96,3.07,3.19,3.32,3.45,3.59,3.74,3.89,4.05,4.22,4.4,4.59,4.78,4.99,5.2,5.43,5.67,5.91,6.17,6.44,6.73,7.03,7.34,7.66,8,8.35,8.72,9.11,9.51,9.93,10.37,10.83,11.3,11.79,12.31,12.83,13.38,13.94,14.52,15.12,15.74,16.38,17.04,17.72,18.42
1.15,1.27,1.35,1.42,1.48,1.54,1.61,1.67,1.74,1.8,1.86,1.92,1.97,2.03,2.09,2.16,2.24,2.33,2.42,2.53,2.64,2.75,2.87,2.98,3.1,3.22,3.34,3.46,3.59,3.73,3.88,4.04,4.2,4.37,4.54,4.72,4.91,5.1,5.3,5.51,5.73,5.97,6.21,6.47,6.74,7.02,7.32,7.63,7.96,8.3,8.66,9.03,9.42,9.83,10.25,10.7,11.17,11.66,12.16,12.7,13.25,13.83,14.43,15.05,15.7,16.38,17.08,17.81,18.56,19.34,20.14,20.97,21.82,22.7,23.6,24.52,25.48,26.46,27.46,28.5
1.84,2,2.12,2.23,2.32,2.42,2.52,2.62,2.72,2.81,2.9,2.99,3.08,3.17,3.26,3.38,3.5,3.64,3.8,3.96,4.13,4.31,4.49,4.66,4.84,5.02,5.21,5.41,5.61,5.83,6.07,6.31,6.56,6.82,7.09,7.37,7.66,7.95,8.27,8.6,8.94,9.3,9.68,10.08,10.5,10.95,11.4,11.89,12.39,12.92,13.47,14.04,14.65,15.28,15.93,16.62,17.34,18.08,18.86,19.67,20.51,21.39,22.3,23.25,24.23,25.25,26.31,27.4,28.52,29.68,30.87,32.1,33.35,34.65,35.97,37.33,38.72,40.14,41.6,43.1
2.72,2.92,3.09,3.24,3.38,3.51,3.65,3.8,3.93,4.06,4.19,4.32,4.44,4.58,4.73,4.89,5.08,5.29,5.51,5.75,6,6.24,6.5,6.75,7,7.27,7.54,7.82,8.13,8.44,8.78,9.13,9.49,9.86,10.25,10.65,11.06,11.49,11.94,12.42,12.91,13.44,13.99,14.56,15.17,15.8,16.46,17.15,17.87,18.63,19.42,20.24,21.1,22,22.93,23.91,24.92,25.98,27.08,28.22,29.41,30.65,31.93,33.25,34.63,36.05,37.52,39.03,40.58,42.18,43.82,45.5,47.22,48.98,50.78,52.62,54.5,56.42,58.38,60.4
3.78,4.04,4.26,4.46,4.65,4.84,5.02,5.21,5.39,5.56,5.73,5.91,6.09,6.29,6.5,6.73,6.99,7.28,7.59,7.91,8.24,8.58,8.92,9.25,9.6,9.96,10.34,10.73,11.15,11.58,12.04,12.52,13.01,13.52,14.04,14.58,15.15,15.74,16.36,17.01,17.68,18.4,19.15,19.94,20.76,21.62,22.52,23.46,24.44,25.46,26.53,27.64,28.81,30.02,31.27,32.59,33.95,35.37,36.85,38.38,39.96,41.61,43.31,45.07,46.88,48.76,50.69,52.67,54.71,56.8,58.93,61.11,63.34,65.61,67.93,70.3,72.7,75.15,77.66,80.22
4.84,5.16,5.43,5.67,5.91,6.14,6.37,6.59,6.81,7.03,7.25,7.48,7.71,7.96,8.24,8.54,8.88,9.25,9.64,10.04,10.45,10.86,11.29,11.71,12.16,12.62,13.1,13.59,14.12,14.67,15.24,15.84,16.46,17.09,17.75,18.44,19.15,19.9,20.68,21.5,22.36,23.26,24.2,25.19,26.22,27.3,28.43,29.61,30.83,32.11,33.45,34.84,36.28,37.79,39.36,40.98,42.68,44.43,46.25,48.13,50.08,52.1,54.19,56.34,58.55,60.83,63.16,65.57,68.02,70.53,73.09,75.7,78.36,81.07,83.82,86.62,89.46,92.35,95.3,98.32
6.28,6.67,7.01,7.32,7.61,7.9,8.18,8.46,8.74,9.02,9.31,9.61,9.91,10.25,10.61,11.01,11.46,11.93,12.42,12.92,13.44,13.96,14.51,15.05,15.63,16.22,16.84,17.48,18.15,18.86,19.59,20.35,21.14,21.94,22.79,23.67,24.58,25.54,26.54,27.59,28.69,29.84,31.05,32.31,33.62,35,36.43,37.93,39.49,41.11,42.8,44.55,46.38,48.28,50.25,52.3,54.43,56.62,58.9,61.25,63.68,66.19,68.77,71.43,74.16,76.97,79.84,82.78,85.78,88.84,91.95,95.12,98.33,101.6,104.91,108.27,111.68,115.14,118.67,122.29
7.94,8.42,8.83,9.21,9.56,9.91,10.25,10.59,10.94,11.3,11.67,12.05,12.44,12.87,13.34,13.84,14.41,15,15.6,16.22,16.86,17.51,18.19,18.88,19.6,20.35,21.12,21.92,22.76,23.64,24.55,25.5,26.47,27.48,28.54,29.64,30.78,31.98,33.23,34.54,35.91,37.34,38.85,40.41,42.05,43.76,45.53,47.39,49.31,51.31,53.4,55.56,57.81,60.15,62.57,65.07,67.67,70.35,73.12,75.98,78.93,81.96,85.08,88.28,91.56,94.92,98.35,101.86,105.43,109.05,112.74,116.48,120.26,124.1,127.98,131.91,135.9,139.95,144.08,148.33
