0.2,0.22,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.42,0.43,0.45,0.46,0.48,0.5,0.52,0.53,0.55,0.57,0.59,0.6,0.62,0.65,0.67,0.69,0.71,0.73,0.76,0.78,0.81,0.83,0.86,0.89,0.91,0.94,0.97,1,1.04,1.07,1.1,1.14,1.17,1.21,1.25,1.29,1.33,1.37,1.41,1.46,1.5,1.55,1.6,1.65,1.7,1.76,1.81,1.87,1.93,2,2.06,2.13,2.21,2.28,2.36,2.45,2.54,2.63,2.73,2.84,2.95,3.07,3.05
0.68,0.73,0.77,0.81,0.84,0.87,0.9,0.93,0.97,1,1.03,1.07,1.1,1.13,1.16,1.19,1.23,1.27,1.31,1.36,1.41,1.46,1.51,1.57,1.62,1.67,1.73,1.78,1.84,1.9,1.96,2.03,2.1,2.17,2.24,2.31,2.38,2.46,2.54,2.62,2.7,2.79,2.87,2.96,3.06,3.16,3.25,3.36,3.46,3.57,3.68,3.8,3.92,4.04,4.16,4.29,4.42,4.56,4.7,4.84,4.99,5.14,5.3,5.46,5.63,5.8,5.98,6.17,6.37,6.57,6.78,7,7.23,7.47,7.72,7.98,8.26,8.55,8.85,9.17,9.5,9.6
1.45,1.55,1.63,1.7,1.76,1.82,1.89,1.96,2.03,2.1,2.17,2.24,2.3,2.36,2.43,2.5,2.58,2.67,2.76,2.86,2.96,3.07,3.18,3.29,3.4,3.51,3.62,3.74,3.86,3.98,4.12,4.25,4.39,4.54,4.68,4.84,4.99,5.15,5.31,5.48,5.65,5.83,6.01,6.2,6.4,6.6,6.81,7.02,7.24,7.47,7.7,7.94,8.18,8.43,8.69,8.95,9.22,9.5,9.79,10.08,10.38,10.69,11.01,11.33,11.67,12.02,12.38,12.75,13.13,13.53,13.94,14.37,14.81,15.28,15.76,16.26,16.79,17.34,17.92,18.52,19.15,19.44
2.37,2.51,2.62,2.73,2.83,2.93,3.03,3.14,3.25,3.36,3.47,3.58,3.68,3.78,3.89,4.01,4.14,4.28,4.43,4.58,4.75,4.92,5.09,5.26,5.44,5.62,5.8,5.98,6.18,6.38,6.59,6.81,7.03,7.26,7.5,7.74,7.99,8.24,8.5,8.76,9.04,9.32,9.62,9.92,10.23,10.55,10.88,11.22,11.57,11.93,12.3,12.67,13.06,13.45,13.86,14.27,14.7,15.13,15.58,16.04,16.5,16.98,17.48,17.98,18.5,19.03,19.58,20.14,20.72,21.32,21.94,22.58,23.23,23.92,24.63,25.38,26.15,26.95,27.79,28.67,29.57,30.11
3.74,3.94,4.11,4.27,4.43,4.59,4.75,4.92,5.09,5.26,5.42,5.58,5.75,5.91,6.09,6.28,6.48,6.7,6.94,7.18,7.44,7.7,7.97,8.23,8.51,8.78,9.06,9.36,9.66,9.98,10.31,10.65,11,11.35,11.72,12.1,12.48,12.87,13.27,13.69,14.12,14.56,15.02,15.49,15.97,16.48,16.99,17.52,18.05,18.61,19.18,19.76,20.35,20.96,21.59,22.22,22.88,23.54,24.22,24.92,25.63,26.35,27.1,27.85,28.63,29.42,30.24,31.08,31.93,32.81,33.71,34.64,35.6,36.59,37.62,38.68,39.78,40.93,42.12,43.36,44.65,45.53
5.47,5.74,5.98,6.21,6.43,6.66,6.9,7.14,7.38,7.61,7.84,8.08,8.32,8.57,8.83,9.11,9.4,9.72,10.07,10.42,10.79,11.16,11.55,11.93,12.32,12.72,13.13,13.56,14,14.46,14.93,15.42,15.93,16.44,16.97,17.51,18.06,18.62,19.21,19.81,20.43,21.07,21.73,22.41,23.11,23.83,24.56,25.32,26.1,26.89,27.7,28.54,29.39,30.26,31.14,32.05,32.98,33.92,34.88,35.86,36.86,37.87,38.91,39.97,41.04,42.14,43.26,44.41,45.57,46.77,47.99,49.24,50.52,51.85,53.21,54.63,56.08,57.6,59.16,60.79,62.46,63.74
7.57,7.91,8.24,8.55,8.86,9.17,9.49,9.81,10.12,10.44,10.76,11.08,11.42,11.77,12.14,12.53,12.93,13.38,13.85,14.33,14.83,15.34,15.86,16.38,16.91,17.46,18.03,18.62,19.23,19.85,20.51,21.18,21.87,22.57,23.29,24.02,24.78,25.56,26.35,27.18,28.03,28.9,29.81,30.74,31.69,32.67,33.68,34.71,35.76,36.84,37.94,39.07,40.23,41.4,42.6,43.82,45.06,46.32,47.61,48.92,50.24,51.59,52.96,54.35,55.77,57.2,58.66,60.14,61.65,63.18,64.74,66.33,67.96,69.63,71.35,73.12,74.94,76.82,78.77,80.78,82.86,84.57
9.65,10.07,10.47,10.86,11.25,11.64,12.03,12.42,12.82,13.22,13.63,14.05,14.48,14.93,15.4,15.9,16.42,16.99,17.59,18.19,18.82,19.45,20.1,20.76,21.44,22.14,22.86,23.6,24.37,25.17,25.99,26.84,27.71,28.59,29.49,30.43,31.38,32.36,33.38,34.42,35.49,36.6,37.74,38.91,40.11,41.35,42.61,43.91,45.23,46.58,47.96,49.37,50.81,52.28,53.77,55.28,56.82,58.38,59.97,61.58,63.21,64.85,66.52,68.21,69.92,71.65,73.39,75.16,76.95,78.76,80.59,82.46,84.35,86.3,88.28,90.31,92.4,94.56,96.77,99.06,101.43,103.54
12.48,13.01,13.51,14,14.5,14.99,15.48,15.98,16.49,17,17.53,18.07,18.63,19.22,19.84,20.49,21.18,21.91,22.66,23.43,24.23,25.04,25.87,26.71,27.59,28.49,29.42,30.38,31.37,32.39,33.45,34.53,35.63,36.76,37.93,39.12,40.35,41.61,42.91,44.26,45.63,47.05,48.51,50.01,51.54,53.12,54.73,56.38,58.07,59.78,61.54,63.33,65.15,67,68.88,70.79,72.73,74.69,76.67,78.67,80.7,82.74,84.8,86.88,88.97,91.07,93.19,95.32,97.47,99.63,101.82,104.03,106.26,108.53,110.85,113.21,115.63,118.11,120.67,123.3,126.02,128.65
15.73,16.38,17,17.61,18.22,18.82,19.43,20.05,20.69,21.34,22.01,22.69,23.41,24.16,24.94,25.77,26.63,27.54,28.48,29.44,30.43,31.43,32.48,33.54,34.64,35.78,36.95,38.15,39.39,40.67,41.98,43.33,44.71,46.12,47.58,49.08,50.62,52.2,53.83,55.51,57.23,59,60.82,62.69,64.61,66.57,68.58,70.63,72.72,74.85,77.02,79.23,81.48,83.76,86.07,88.42,90.79,93.18,95.6,98.03,100.48,102.95,105.43,107.91,110.4,112.9,115.39,117.9,120.41,122.92,125.45,127.99,130.54,133.12,135.74,138.4,141.11,143.89,146.75,149.69,152.73,155.92
