0.45,0.47,0.5,0.52,0.54,0.56,0.57,0.59,0.61,0.64,0.66,0.68,0.7,0.72,0.74,0.75,0.77,0.79,0.81,0.83,0.86,0.89,0.92,0.95,0.98,1.01,1.05,1.08,1.11,1.15,1.19,1.22,1.26,1.3,1.34,1.38,1.43,1.47,1.52,1.57,1.62,1.67,1.72,1.77,1.83,1.88,1.94,2,2.05,2.11,2.18,2.24,2.3,2.37,2.43,2.5,2.57,2.64,2.71,2.78,2.85,2.92,2.99,3.07,3.14,3.21,3.29,3.36,3.44,3.52,3.6,3.67,3.75,3.82,3.9,3.97,4.05,4.12,4.2,4.27,4.35,4.23,4.2
1.48,1.56,1.62,1.68,1.75,1.81,1.87,1.93,2,2.07,2.14,2.2,2.27,2.33,2.39,2.44,2.5,2.57,2.64,2.71,2.8,2.9,2.99,3.1,3.2,3.3,3.4,3.51,3.62,3.73,3.85,3.97,4.09,4.22,4.36,4.5,4.64,4.79,4.94,5.1,5.26,5.42,5.59,5.76,5.93,6.11,6.29,6.48,6.67,6.86,7.06,7.26,7.46,7.67,7.88,8.1,8.31,8.53,8.75,8.98,9.2,9.43,9.66,9.88,10.11,10.34,10.57,10.8,11.03,11.26,11.49,11.71,11.92,12.14,12.35,12.55,12.76,12.96,13.16,13.36,13.56,13.35,13.27
3.14,3.28,3.41,3.54,3.67,3.8,3.93,4.06,4.2,4.34,4.48,4.61,4.74,4.87,4.99,5.11,5.24,5.38,5.53,5.7,5.89,6.08,6.29,6.5,6.71,6.92,7.14,7.36,7.59,7.83,8.07,8.32,8.58,8.85,9.14,9.43,9.73,10.04,10.36,10.69,11.02,11.36,11.71,12.06,12.42,12.8,13.18,13.56,13.96,14.36,14.77,15.19,15.62,16.05,16.48,16.93,17.37,17.83,18.28,18.74,19.2,19.66,20.12,20.58,21.04,21.5,21.96,22.42,22.87,23.32,23.75,24.17,24.58,24.98,25.37,25.75,26.12,26.49,26.84,27.19,27.53,27.23,27.08
5.07,5.28,5.49,5.69,5.89,6.09,6.3,6.51,6.73,6.95,7.16,7.37,7.58,7.78,7.98,8.18,8.39,8.62,8.88,9.16,9.46,9.77,10.09,10.41,10.75,11.09,11.43,11.79,12.16,12.54,12.93,13.33,13.75,14.19,14.64,15.11,15.6,16.09,16.6,17.12,17.65,18.19,18.74,19.31,19.89,20.48,21.09,21.7,22.33,22.97,23.63,24.29,24.97,25.65,26.34,27.04,27.75,28.46,29.18,29.9,30.62,31.34,32.06,32.78,33.49,34.19,34.9,35.59,36.27,36.94,37.58,38.2,38.8,39.39,39.95,40.49,41.01,41.52,42,42.47,42.92,42.58,42.36
7.98,8.3,8.6,8.91,9.22,9.54,9.86,10.2,10.53,10.86,11.19,11.51,11.83,12.14,12.46,12.79,13.13,13.51,13.92,14.36,14.82,15.3,15.79,16.3,16.82,17.34,17.88,18.44,19.02,19.61,20.22,20.85,21.52,22.2,22.91,23.65,24.4,25.17,25.96,26.76,27.59,28.43,29.3,30.18,31.09,32.01,32.95,33.91,34.89,35.89,36.9,37.94,38.98,40.04,41.12,42.2,43.29,44.39,45.49,46.6,47.7,48.8,49.9,50.99,52.07,53.13,54.19,55.22,56.23,57.21,58.15,59.06,59.93,60.77,61.57,62.33,63.06,63.75,64.4,65.03,65.62,65.24,64.95
11.62,12.06,12.5,12.93,13.38,13.84,14.3,14.78,15.25,15.72,16.19,16.64,17.1,17.56,18.03,18.52,19.04,19.61,20.21,20.84,21.51,22.2,22.9,23.63,24.37,25.14,25.92,26.72,27.55,28.41,29.31,30.23,31.19,32.19,33.22,34.28,35.36,36.47,37.61,38.77,39.97,41.19,42.43,43.71,45.01,46.35,47.7,49.09,50.5,51.94,53.4,54.89,56.39,57.91,59.45,61.01,62.57,64.14,65.71,67.29,68.86,70.43,71.98,73.52,75.04,76.54,78.01,79.44,80.83,82.18,83.48,84.72,85.9,87.04,88.11,89.13,90.08,90.98,91.83,92.61,93.35,93.02,92.7
16.03,16.61,17.2,17.8,18.41,19.03,19.66,20.3,20.93,21.57,22.19,22.82,23.45,24.09,24.76,25.46,26.19,26.98,27.82,28.69,29.59,30.53,31.49,32.48,33.49,34.54,35.61,36.71,37.86,39.05,40.28,41.55,42.88,44.25,45.66,47.1,48.59,50.11,51.66,53.25,54.89,56.56,58.27,60.01,61.8,63.62,65.48,67.38,69.31,71.27,73.27,75.29,77.35,79.42,81.52,83.63,85.76,87.89,90.02,92.16,94.28,96.39,98.48,100.55,102.59,104.59,106.55,108.45,110.3,112.09,113.8,115.43,116.99,118.47,119.87,121.19,122.43,123.58,124.65,125.65,126.56,126.43,126.21
20.39,21.12,21.85,22.6,23.36,24.14,24.92,25.72,26.5,27.29,28.08,28.87,29.69,30.52,31.4,32.31,33.26,34.28,35.33,36.43,37.57,38.74,39.95,41.2,42.48,43.8,45.16,46.56,48.02,49.53,51.11,52.73,54.41,56.14,57.91,59.74,61.61,63.53,65.5,67.51,69.58,71.69,73.85,76.06,78.31,80.62,82.97,85.36,87.8,90.28,92.8,95.35,97.94,100.55,103.19,105.84,108.51,111.19,113.87,116.54,119.19,121.83,124.45,127.03,129.57,132.05,134.48,136.85,139.14,141.35,143.47,145.51,147.45,149.29,151.04,152.68,154.22,155.67,157.01,158.25,159.4,159.76,159.93
26.33,27.24,28.17,29.12,30.09,31.08,32.07,33.07,34.06,35.07,36.08,37.12,38.18,39.28,40.44,41.64,42.88,44.19,45.55,46.95,48.41,49.91,51.46,53.06,54.7,56.4,58.15,59.97,61.85,63.81,65.83,67.92,70.08,72.3,74.58,76.92,79.32,81.78,84.31,86.89,89.54,92.25,95.03,97.86,100.76,103.72,106.73,109.8,112.93,116.11,119.33,122.61,125.92,129.26,132.64,136.03,139.44,142.86,146.28,149.68,153.07,156.44,159.77,163.06,166.3,169.47,172.57,175.59,178.53,181.37,184.11,186.75,189.27,191.69,194,196.19,198.26,200.23,202.08,203.82,205.47,206.86,208
33.15,34.27,35.42,36.6,37.8,39.01,40.24,41.47,42.7,43.96,45.24,46.56,47.93,49.35,50.83,52.36,53.93,55.58,57.28,59.03,60.86,62.73,64.66,66.66,68.72,70.85,73.06,75.35,77.73,80.19,82.73,85.36,88.05,90.83,93.68,96.61,99.62,102.7,105.86,109.1,112.42,115.82,119.3,122.85,126.48,130.18,133.96,137.8,141.72,145.69,149.73,153.82,157.96,162.15,166.37,170.61,174.87,179.14,183.41,187.68,191.92,196.14,200.31,204.44,208.5,212.5,216.42,220.26,224.01,227.66,231.21,234.65,237.99,241.22,244.35,247.37,250.28,253.1,255.83,258.48,261.06,264.51,267.78
