0.25,0.27,0.28,0.3,0.31,0.32,0.33,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.78,0.81,0.83,0.86,0.89,0.92,0.95,0.98,1.01,1.04,1.07,1.1,1.14,1.17,1.21,1.25,1.29,1.33,1.37,1.41,1.45,1.5,1.54,1.59,1.64,1.7,1.75,1.8,1.86,1.92,1.99,2.05,2.12,2.2,2.27,2.35,2.44,2.52,2.61,2.7,2.79,2.89,3,3.1,3.21,3.33,3.45
0.82,0.88,0.93,0.97,1.01,1.05,1.09,1.12,1.16,1.2,1.24,1.28,1.31,1.34,1.37,1.4,1.42,1.45,1.49,1.54,1.59,1.65,1.72,1.78,1.84,1.91,1.97,2.03,2.1,2.16,2.23,2.3,2.37,2.45,2.53,2.61,2.7,2.79,2.88,2.98,3.07,3.17,3.27,3.37,3.47,3.58,3.69,3.8,3.92,4.04,4.16,4.29,4.42,4.55,4.69,4.83,4.98,5.13,5.29,5.45,5.62,5.79,5.97,6.16,6.35,6.55,6.76,6.98,7.21,7.45,7.69,7.94,8.19,8.45,8.73,9.01,9.3,9.6,9.91,10.23,10.56
1.76,1.87,1.96,2.05,2.12,2.2,2.28,2.36,2.44,2.52,2.6,2.67,2.74,2.8,2.86,2.91,2.97,3.05,3.13,3.24,3.35,3.48,3.61,3.74,3.87,3.99,4.12,4.25,4.39,4.53,4.67,4.81,4.97,5.13,5.3,5.48,5.66,5.85,6.04,6.23,6.43,6.63,6.83,7.04,7.26,7.48,7.71,7.94,8.19,8.43,8.69,8.95,9.21,9.49,9.77,10.06,10.36,10.67,10.99,11.32,11.65,12,12.36,12.73,13.11,13.51,13.92,14.35,14.79,15.25,15.71,16.18,16.67,17.17,17.68,18.21,18.75,19.31,19.88,20.47,21.08
2.86,3.02,3.16,3.29,3.41,3.53,3.66,3.79,3.91,4.04,4.16,4.27,4.37,4.46,4.55,4.65,4.76,4.88,5.03,5.2,5.39,5.58,5.79,5.99,6.19,6.39,6.6,6.81,7.02,7.24,7.47,7.7,7.95,8.21,8.49,8.77,9.06,9.36,9.66,9.96,10.28,10.59,10.92,11.26,11.6,11.95,12.31,12.68,13.06,13.45,13.85,14.26,14.68,15.12,15.56,16.01,16.48,16.96,17.45,17.96,18.48,19.01,19.56,20.12,20.7,21.3,21.92,22.56,23.21,23.88,24.56,25.25,25.95,26.67,27.41,28.17,28.95,29.75,30.56,31.4,32.26
4.52,4.76,4.96,5.15,5.35,5.54,5.73,5.92,6.12,6.3,6.48,6.64,6.8,6.94,7.09,7.25,7.43,7.64,7.89,8.16,8.45,8.75,9.06,9.37,9.68,9.99,10.31,10.63,10.97,11.31,11.67,12.04,12.43,12.85,13.27,13.71,14.16,14.62,15.08,15.56,16.04,16.54,17.04,17.57,18.1,18.64,19.2,19.77,20.36,20.96,21.58,22.21,22.85,23.51,24.19,24.89,25.59,26.32,27.06,27.83,28.6,29.4,30.22,31.05,31.91,32.79,33.7,34.62,35.56,36.52,37.49,38.47,39.46,40.48,41.53,42.59,43.68,44.79,45.92,47.08,48.26
6.61,6.92,7.21,7.48,7.76,8.03,8.31,8.58,8.85,9.11,9.35,9.58,9.8,10.02,10.24,10.49,10.77,11.1,11.46,11.85,12.27,12.7,13.13,13.57,14.01,14.46,14.92,15.39,15.87,16.37,16.9,17.44,18.02,18.61,19.22,19.86,20.5,21.16,21.82,22.5,23.2,23.91,24.64,25.39,26.15,26.93,27.73,28.55,29.39,30.25,31.12,32.02,32.94,33.88,34.84,35.81,36.81,37.83,38.87,39.93,41.01,42.11,43.23,44.38,45.55,46.75,47.96,49.2,50.45,51.71,52.99,54.28,55.59,56.92,58.27,59.65,61.06,62.49,63.95,65.43,66.95
9.14,9.55,9.93,10.3,10.67,11.04,11.41,11.77,12.12,12.46,12.79,13.09,13.4,13.71,14.04,14.41,14.82,15.28,15.78,16.31,16.87,17.45,18.04,18.64,19.24,19.86,20.48,21.12,21.79,22.48,23.21,23.96,24.75,25.56,26.4,27.26,28.13,29.03,29.94,30.86,31.81,32.78,33.77,34.79,35.83,36.89,37.97,39.08,40.22,41.38,42.56,43.78,45.01,46.27,47.55,48.86,50.18,51.54,52.91,54.31,55.72,57.16,58.62,60.11,61.62,63.14,64.69,66.24,67.81,69.4,70.99,72.59,74.2,75.84,77.51,79.19,80.91,82.65,84.43,86.23,88.07
11.65,12.15,12.62,13.08,13.54,14,14.45,14.9,15.32,15.74,16.13,16.53,16.92,17.34,17.79,18.28,18.82,19.41,20.04,20.72,21.42,22.14,22.88,23.62,24.38,25.15,25.95,26.76,27.61,28.5,29.43,30.38,31.38,32.41,33.46,34.53,35.63,36.75,37.9,39.06,40.26,41.48,42.72,44,45.3,46.63,47.99,49.37,50.79,52.24,53.72,55.22,56.75,58.31,59.89,61.5,63.13,64.78,66.45,68.15,69.86,71.59,73.33,75.1,76.88,78.67,80.47,82.28,84.09,85.92,87.74,89.56,91.39,93.25,95.12,97.02,98.94,100.89,102.88,104.9,106.96
15.06,15.68,16.27,16.86,17.44,18.01,18.57,19.12,19.64,20.17,20.68,21.19,21.73,22.29,22.9,23.55,24.26,25.03,25.84,26.7,27.59,28.51,29.44,30.4,31.37,32.35,33.37,34.43,35.54,36.69,37.88,39.11,40.39,41.7,43.04,44.41,45.81,47.24,48.7,50.19,51.71,53.27,54.85,56.48,58.14,59.83,61.56,63.32,65.12,66.95,68.81,70.71,72.63,74.58,76.56,78.57,80.59,82.64,84.7,86.78,88.86,90.97,93.09,95.21,97.33,99.46,101.58,103.7,105.82,107.93,110.04,112.13,114.23,116.35,118.48,120.63,122.81,125.02,127.26,129.54,131.88
18.98,19.74,20.47,21.18,21.89,22.58,23.26,23.92,24.57,25.22,25.87,26.53,27.23,27.97,28.77,29.61,30.51,31.48,32.49,33.55,34.66,35.8,36.97,38.15,39.36,40.6,41.89,43.23,44.63,46.07,47.57,49.11,50.7,52.33,54,55.71,57.45,59.23,61.05,62.9,64.79,66.73,68.7,70.72,72.78,74.88,77.02,79.2,81.42,83.68,85.97,88.3,90.65,93.04,95.45,97.88,100.33,102.79,105.27,107.75,110.23,112.72,115.2,117.68,120.14,122.59,125.03,127.44,129.84,132.22,134.57,136.91,139.24,141.58,143.93,146.29,148.68,151.1,153.56,156.07,158.64
26.28,27.29,28.27,29.23,30.17,31.09,31.99,32.88,33.77,34.67,35.59,36.54,37.54,38.6,39.72,40.91,42.16,43.49,44.88,46.34,47.85,49.41,51,52.62,54.29,56.02,57.81,59.67,61.6,63.59,65.65,67.76,69.94,72.17,74.45,76.78,79.17,81.61,84.09,86.62,89.21,91.86,94.55,97.31,100.12,102.98,105.89,108.85,111.86,114.91,118.01,121.15,124.31,127.51,130.73,133.97,137.21,140.47,143.72,146.97,150.2,153.43,156.61,159.78,162.91,166,169.05,172.06,175.02,177.95,180.83,183.67,186.49,189.3,192.12,194.95,197.8,200.7,203.64,206.66,209.77
34.77,36.07,37.31,38.53,39.73,40.9,42.07,43.23,44.41,45.61,46.86,48.16,49.52,50.95,52.46,54.04,55.7,57.45,59.28,61.19,63.17,65.2,67.29,69.42,71.63,73.92,76.3,78.76,81.3,83.93,86.63,89.4,92.24,95.16,98.15,101.2,104.32,107.51,110.76,114.07,117.46,120.91,124.43,128.03,131.68,135.41,139.19,143.04,146.94,150.89,154.88,158.92,162.98,167.07,171.18,175.29,179.4,183.5,187.58,191.64,195.65,199.62,203.53,207.39,211.17,214.89,218.53,222.09,225.58,229,232.34,235.62,238.85,242.06,245.26,248.47,251.69,254.97,258.32,261.77,265.36
44.51,46.1,47.64,49.14,50.62,52.09,53.55,55.04,56.56,58.13,59.76,61.47,63.25,65.11,67.05,69.08,71.21,73.45,75.78,78.2,80.7,83.28,85.94,88.68,91.52,94.45,97.5,100.64,103.88,107.21,110.64,114.15,117.75,121.45,125.23,129.1,133.05,137.09,141.2,145.39,149.68,154.05,158.5,163.03,167.64,172.33,177.09,181.91,186.8,191.74,196.72,201.74,206.79,211.84,216.91,221.95,226.98,231.97,236.92,241.8,246.61,251.34,255.97,260.5,264.92,269.23,273.42,277.49,281.45,285.29,289.02,292.65,296.2,299.7,303.18,306.65,310.14,313.69,317.34,321.13,325.15
55.53,57.43,59.28,61.09,62.89,64.69,66.51,68.38,70.3,72.31,74.39,76.56,78.81,81.16,83.59,86.13,88.8,91.58,94.47,97.47,100.56,103.77,107.09,110.51,114.06,117.73,121.52,125.43,129.44,133.57,137.81,142.15,146.61,151.17,155.85,160.62,165.5,170.48,175.56,180.74,186.03,191.41,196.89,202.47,208.14,213.9,219.73,225.63,231.6,237.62,243.67,249.76,255.85,261.94,268.02,274.05,280.04,285.96,291.8,297.53,303.14,308.63,313.98,319.17,324.2,329.07,333.76,338.28,342.64,346.83,350.86,354.74,358.51,362.2,365.83,369.43,373.06,376.76,380.6,384.65,389.06
67.87,70.1,72.28,74.44,76.6,78.79,81.03,83.33,85.74,88.23,90.82,93.51,96.29,99.18,102.17,105.29,108.56,111.95,115.46,119.1,122.88,126.79,130.86,135.06,139.4,143.88,148.51,153.25,158.13,163.13,168.27,173.54,178.94,184.48,190.14,195.92,201.83,207.86,214.01,220.28,226.67,233.17,239.79,246.52,253.35,260.27,267.27,274.35,281.48,288.66,295.87,303.1,310.31,317.5,324.64,331.72,338.7,345.58,352.33,358.93,365.36,371.61,377.66,383.5,389.11,394.51,399.66,404.59,409.28,413.75,418,422.05,425.93,429.69,433.35,436.97,440.6,444.32,448.24,452.5,457.33
81.56,84.15,86.69,89.24,91.82,94.46,97.18,100,102.94,105.98,109.14,112.4,115.77,119.27,122.89,126.64,130.59,134.65,138.85,143.23,147.77,152.5,157.39,162.45,167.66,173.04,178.57,184.24,190.06,196.04,202.18,208.47,214.91,221.51,228.25,235.15,242.19,249.37,256.69,264.16,271.76,279.49,287.35,295.33,303.41,311.6,319.87,328.21,336.6,345.03,353.47,361.91,370.3,378.65,386.92,395.07,403.1,410.98,418.67,426.16,433.42,440.44,447.21,453.69,459.89,465.79,471.39,476.69,481.69,486.4,490.81,494.97,498.89,502.62,506.22,509.73,513.25,516.9,520.83,525.32,530.75
96.66,99.63,102.59,105.58,108.65,111.81,115.08,118.48,122.01,125.66,129.44,133.34,137.37,141.54,145.85,150.34,155,159.81,164.81,170.01,175.42,181.03,186.84,192.83,199,205.35,211.87,218.56,225.43,232.48,239.71,247.11,254.7,262.46,270.4,278.51,286.79,295.24,303.85,312.62,321.54,330.62,339.83,349.17,358.63,368.19,377.83,387.54,397.29,407.07,416.83,426.57,436.25,445.84,455.32,464.64,473.79,482.74,491.46,499.93,508.1,515.99,523.55,530.77,537.64,544.15,550.3,556.07,561.48,566.53,571.22,575.59,579.65,583.47,587.1,590.63,594.18,597.92,602.14,607.27,614.07
113.21,116.61,120.04,123.56,127.18,130.93,134.82,138.86,143.04,147.36,151.82,156.42,161.18,166.1,171.2,176.47,181.93,187.59,193.47,199.59,205.94,212.53,219.33,226.34,233.54,240.95,248.56,256.36,264.37,272.59,281.01,289.64,298.48,307.52,316.76,326.19,335.83,345.66,355.67,365.86,376.23,386.76,397.45,408.27,419.21,430.26,441.39,452.58,463.8,475.03,486.23,497.38,508.44,519.38,530.18,540.78,551.17,561.31,571.19,580.75,589.99,598.88,607.4,615.53,623.27,630.59,637.5,643.98,650.05,655.71,660.96,665.83,670.36,674.6,678.65,682.6,686.65,691.08,696.36,703.29,713.27
131.29,135.18,139.15,143.26,147.51,151.92,156.49,161.23,166.12,171.17,176.38,181.77,187.32,193.08,199.02,205.15,211.52,218.12,224.98,232.11,239.49,247.13,255.01,263.11,271.44,280,288.79,297.81,307.06,316.55,326.27,336.23,346.43,356.85,367.51,378.39,389.5,400.82,412.36,424.1,436.04,448.15,460.43,472.85,485.4,498.06,510.8,523.59,536.4,549.21,561.97,574.66,587.23,599.66,611.91,623.95,635.74,647.26,658.47,669.35,679.87,690.02,699.77,709.12,718.04,726.54,734.61,742.24,749.45,756.24,762.63,768.66,774.36,779.83,785.16,790.55,796.3,802.88,811.15,822.6,839.97
150.99,155.43,160.02,164.79,169.73,174.87,180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.55,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000
155.43,160.02,164.79,169.73,174.87,180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.42,629.94,644.41,658.8,673.06,687.16,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000
160.02,164.79,169.73,174.87,180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.42,629.94,644.41,658.8,673.06,687.16,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000
164.79,169.73,174.87,180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.42,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000
169.73,174.87,180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000
174.87,180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.14,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.15,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000
180.18,185.67,191.34,197.19,203.24,209.47,215.93,222.58,229.44,236.54,243.91,251.56,259.49,267.71,276.2,284.98,294,303.29,312.84,322.65,332.72,343.06,353.66,364.53,375.66,387.07,398.73,410.66,422.85,435.31,448.01,460.96,474.15,487.56,501.19,515.01,529.01,543.17,557.46,571.86,586.34,600.87,615.41,629.94,644.41,658.8,673.06,687.15,701.06,714.74,728.17,741.31,754.14,766.65,778.81,790.61,802.03,813.08,823.75,834.04,843.95,853.51,862.73,871.64,880.28,888.7,897,905.31,913.82,922.87,932.98,945.07,960.76,983,1000,1000,1000,1000,1000,1000,1000
